CODE;Descrizione;UM;Depos;Codice-Deposito;Linea;Consumi dal 01/01/19 al 04/02/20;QTY;COST;Totale;Note;;
2400884;20633205 NEW PARA DX T1 ASSEMB;Pz;18;240088418;PFAuto;29585;300;0,92015; 276,05 ;;;
2400885;20633105 NEW PARA SX T1 ASSEMB;Pz;18;240088518;PFAuto;29585;300;0,92017; 276,05 ;;;
2121097;7439549-00 ABDECKUNG;Pz;18;212109718;PF;29652;420;1,35189; 567,79 ;;;
2120761;20808015A HOUSING DX W213 SAE;Pz;18;212076118;PFAuto;29688;1680;1,6171; 2716,73 ;;;
2121391;03690020 LENTE F39 T2 DX;Pz;18;212139118;PFAuto;29706;114;1,03748; 118,27 ;;;
2121390;03689020 LENTE F39 T2 SX;Pz;18;212139018;PFAuto;29706;24;1,03732; 24,90 ;;;
2120762;20809015A HOUSING SX W213 SAE;Pz;18;212076218;PFAuto;29796;1782;1,61707; 2881,62 ;;;
2120753;156141401-010 PULL CUP C DX;Pz;18;212075318;PFAuto;30589;5915;0,12948; 765,87 ;;;
2121278;20639048 NEW PARATIA SX T1 POR;Pz;18;212127818;SLAuto;30728;2500;0,659; 1647,50 ;;;
2120754;156141402-010 PULL CUP C SX;Pz;18;212075418;PFAuto;30758;5070;0,12976; 657,88 ;;;
2120751;156141391-010 PULL CUP C2 DX;Pz;18;212075118;PFAuto;30800;4000;0,09284; 371,36 ;;;
2121277;20638048 NEW PARATIA DX T1 POR;Pz;18;212127718;SLAuto;30877;2040;0,65893; 1344,22 ;;;
2120755;156141381-010 PULL CUP C1 DX;Pz;18;212075518;PFAuto;30888;6318;0,16851; 1064,65 ;;;
2121181;5313212931 FRONTEROGATORE DL;Pz;3136;21211813136;SL;30960;1894;0,09309; 176,31 ;;;
2119461;B-8477C - SELETTORE PER REGAR;NR;2814;21194612814;SL;30975;375;0,14; 52,50 ;;;
2121406;2522161 CAPPUCCIO IMPR1-2;Pz;18;212140618;PF;31120;610;0,21881; 133,47 ;;;
2120756;156141382-010 PULL CUP C1 SX;Pz;18;212075618;PFAuto;31122;5382;0,16871; 908,00 ;;;
2120418;807685701 FILTER GASKET FRAME;Pz;18;212041818;PF;31753;2184;0,266; 580,94 ;;;
2120348;7434375-00 ABDECKUNG RE BIANCO;Pz;18;212034818;PF;32000;1000;0,06449; 64,49 ;;;
2120980;03719030-C MASK ECE G463;Pz;18;212098018;PFAuto;32112;1800;0,65228; 1174,10 ;;;
2121326;K11570A04 V2V COUPLING ROD LI;Pz;18;212132618;PFAuto;33872;7300;0,72338; 5280,67 ;;;
2121128;A4636116200 ABDECKUNG RE;Pz;18;212112818;SLAuto;33980;1909;0,43913; 838,30 ;;;
2121355;20555101B CORPO EQUIPAG SX F22;Pz;18;212135518;PFAuto;34235;3163;2,17629; 6883,61 ;;;
2121354;20555201B CORPO EQUIPAG DX F22;Pz;18;212135418;PFAuto;34235;2900;2,17629; 6311,24 ;;;
2121263;A4636116100 ABDECKUNG LI;Pz;18;212126318;SLAuto;34960;1750;0,48605; 850,59 ;;;
2120738;156142762 SPEAKER ANT SX da as;Pz;18;212073818;SLAuto;35000;4750;0,19075; 906,06 ;;;
2120737;156142761 SPEAKER ANT DX da as;Pz;18;212073718;SLAuto;35450;4500;0,19075; 858,38 ;;;
2121203;7434366-00 HALTERUNG;Pz;18;212120318;PF;35760;2640;0,42163; 1113,10 ;;;
2120557;20898008 CORPO DX AU736 SAE Q7;Pz;18;212055718;PFAuto;35948;3951;1,20018; 4741,91 ;;;
2120558;20899008 CORPO SX AU736 SAE Q7;Pz;18;212055818;PFAuto;35948;2964;1,20072; 3558,93 ;;;
1117410;186102982 SPEAKER POST SX;Pz;18;111741018;PFAuto;36000;800;0,61047; 488,38 ;;;
1117409;186102981 SPEAKER POST DX;Pz;18;111740918;PFAuto;36000;800;0,60897; 487,18 ;;;
1117407;186102971 SPEAKER ANT DX;Pz;18;111740718;PFAuto;36000;700;0,58881; 412,17 ;;;
1117408;186102972 SPEAKER ANT SX;Pz;18;111740818;PFAuto;36000;700;0,58875; 412,13 ;;;
2120739;156142771 SPEAKER POST DX da a;Pz;18;212073918;SLAuto;36155;3700;0,21027; 778,00 ;;;
2121328;K11572A04 V2V COUPLING ROD RE;Pz;18;212132818;PFAuto;36504;9500;0,68019; 6461,81 ;;;
2120740;156142772 SPEAKER POST SX da a;Pz;18;212074018;SLAuto;37002;4050;0,21016; 851,15 ;;;
2120734;20779037 SCHERMO SX ANTITRAF;Pz;18;212073418;PFAuto;38200;800;0,11855; 94,84 ;;;
2121139;K11566A01 LOWER FRAME FLAPS LI;Pz;18;212113918;PFAuto;38492;12672;0,21222; 2689,25 ;;;
2121140;K11567A01 LOWER FRAME FLAPS RE;Pz;18;212114018;PFAuto;38876;12672;0,21224; 2689,51 ;;;
2120598;81408013 LIGHT G DX T1 UPPER;Pz;18;212059818;PF;39690;1188;0,19266; 228,88 ;;;
2120598;81408013 LIGHT G DX T1 UPPER;Pz;9001;21205989001;PF;39690;804;0,19266; 154,90 ;;;
2120599;81409013 LIGHT G SX T1 UPPER;Pz;18;212059918;PF;39852;1890;0,1915; 361,94 ;;;
